,census_tract,DP05_0070E_x,DP05_0070PE,DP05_0071E_x,DP05_0071PE,DP05_0077E_x,DP05_0077PE,DP05_0078E_x,DP05_0078PE,DP05_0079E_x,DP05_0079PE,DP05_0080E_x,DP05_0080PE,DP05_0081E_x,DP05_0081PE,DP05_0082E_x,DP05_0082PE,DP05_0083E_x,DP05_0083PE,entropy_index,DP05_0070E_y,DP05_0071E_y,DP05_0077E_y,DP05_0078E_y,DP05_0079E_y,DP05_0080E_y,DP05_0081E_y,DP05_0082E_y,DP05_0083E_y,totalpop,prop_white,prop_black,prop_asian,prop_hisp,prop_nhopi,prop_aian,prop_multir,other,prop_other
29,1001002001,3490,3490,1254,35.9,397,11.4,1419,40.7,0,0.0,106,3.0,0,0.0,249,7.1,65,1.9,1.1658122796339547,3490,1254,397,1419,1,106,1,249,65,3492,0.11368843069873998,0.4063573883161512,0.030355097365406643,0.359106529209622,0.000286368843069874,0.000286368843069874,0.01861397479954181,0.01861397479954181,0.07130584192439862
30,1001002002,4781,4781,1261,26.4,903,18.9,2350,49.2,11,0.2,104,2.2,0,0.0,0,0.0,152,3.2,1.2239676634825378,4781,1261,903,2350,11,104,1,1,152,4783,0.1887936441563872,0.49132343717332216,0.021743675517457664,0.26364206564917414,0.0002090738030524775,0.002299811833577253,0.031779218063976586,0.031779218063976586,0.0002090738030524775
31,1001002101,5531,5531,1154,20.9,657,11.9,3477,62.9,33,0.6,114,2.1,0,0.0,0,0.0,96,1.7,1.0543149765107207,5531,1154,657,3477,33,114,1,1,96,5533,0.11874209289716248,0.6284113500813302,0.020603650822338695,0.20856678113139346,0.0001807337791433219,0.005964214711729622,0.0173504427977589,0.0173504427977589,0.0001807337791433219
32,1001002102,5660,5660,1348,23.8,637,11.3,3428,60.6,35,0.6,40,0.7,0,0.0,0,0.0,172,3.0,1.0653819787113166,5660,1348,637,3428,35,40,1,1,172,5662,0.1125044154009184,0.605439773931473,0.007064641469445425,0.23807841752031084,0.00017661603673613564,0.006181561285764747,0.03037795831861533,0.03037795831861533,0.00017661603673613564
33,1001002201,3264,3264,548,16.8,877,26.9,1591,48.7,20,0.6,99,3.0,0,0.0,0,0.0,129,4.0,1.270220874046661,3264,548,877,1591,20,99,1,1,129,3266,0.2685241886099204,0.4871402327005511,0.030312308634415187,0.1677893447642376,0.0003061849357011635,0.00612369871402327,0.03949785670545009,0.03949785670545009,0.0003061849357011635
34,1001002202,3332,3332,845,25.4,559,16.8,1792,53.8,11,0.3,24,0.7,0,0.0,0,0.0,101,3.0,1.1437291390700612,3332,845,559,1792,11,24,1,1,101,3334,0.16766646670665866,0.5374925014997001,0.007198560287942412,0.2534493101379724,0.00029994001199760045,0.0032993401319736052,0.030293941211757647,0.030293941211757647,0.00029994001199760045
35,1001002301,3608,3608,573,15.9,920,25.5,1879,52.1,0,0.0,75,2.1,0,0.0,17,0.5,144,4.0,1.1939469871879207,3608,573,920,1879,1,75,1,17,144,3610,0.2548476454293629,0.5204986149584487,0.02077562326869806,0.1587257617728532,0.0002770083102493075,0.0002770083102493075,0.039889196675900275,0.039889196675900275,0.004709141274238227
36,1001002302,1612,1612,64,4.0,662,41.1,736,45.7,0,0.0,66,4.1,0,0.0,35,2.2,49,3.0,1.0975721065498554,1612,64,662,736,1,66,1,35,49,1614,0.41016109045848825,0.4560099132589839,0.040892193308550186,0.03965303593556382,0.0006195786864931846,0.0006195786864931846,0.030359355638166045,0.030359355638166045,0.02168525402726146
37,1001002400,4104,4104,775,18.9,1404,34.2,1675,40.8,0,0.0,128,3.1,0,0.0,26,0.6,96,2.3,1.247406314008244,4104,775,1404,1675,1,128,1,26,96,4106,0.3419386264003897,0.40793960058451045,0.031173891865562593,0.1887481734047735,0.00024354603019970775,0.00024354603019970775,0.023380418899171942,0.023380418899171942,0.0063321967851924016
38,1001002501,3260,3260,1152,35.3,679,20.8,1307,40.1,0,0.0,47,1.4,0,0.0,11,0.3,64,2.0,1.2039140276088198,3260,1152,679,1307,1,47,1,11,64,3262,0.20815450643776823,0.4006744328632741,0.014408338442673207,0.35315757204169224,0.00030656039239730225,0.00030656039239730225,0.019619865113427344,0.019619865113427344,0.003372164316370325
39,1001002502,6734,6734,2324,34.5,1731,25.7,2122,31.5,0,0.0,274,4.1,0,0.0,0,0.0,283,4.2,1.3462014960403852,6734,2324,1731,2122,1,274,1,1,283,6737,0.2569392904853792,0.31497699272673296,0.040670921775270895,0.3449606649844144,0.00014843402107763098,0.00014843402107763098,0.04200682796496957,0.04200682796496957,0.00014843402107763098
40,1001002600,2652,2652,468,17.6,1124,42.4,790,29.8,9,0.3,172,6.5,13,0.5,16,0.6,60,2.3,1.3391881688612783,2652,468,1124,790,9,172,13,16,60,2652,0.4238310708898944,0.29788838612368024,0.06485671191553545,0.17647058823529413,0.004901960784313725,0.003393665158371041,0.02262443438914027,0.02262443438914027,0.006033182503770739
41,1001002701,5802,5802,1816,31.3,2467,42.5,1301,22.4,18,0.3,121,2.1,0,0.0,0,0.0,79,1.4,1.2209870926261086,5802,1816,2467,1301,18,121,1,1,79,5804,0.4250516884906961,0.22415575465196416,0.020847691247415576,0.31288766368022053,0.00017229496898690558,0.0031013094417643005,0.01361130254996554,0.01361130254996554,0.00017229496898690558
42,1001002702,6049,6049,1332,22.0,3185,52.7,789,13.0,0,0.0,319,5.3,0,0.0,209,3.5,215,3.6,1.2132099736206907,6049,1332,3185,789,1,319,1,209,215,6051,0.5263592794579408,0.13039167079821518,0.052718558915881675,0.22012890431333665,0.00016526194017517766,0.00016526194017517766,0.03553131713766319,0.03553131713766319,0.03453974549661213
43,1001002801,4048,4048,1199,29.6,1197,29.6,1374,33.9,0,0.0,153,3.8,0,0.0,0,0.0,125,3.1,1.322482373192128,4048,1199,1197,1374,1,153,1,1,125,4051,0.2954825968896569,0.3391755122192051,0.03776845223401629,0.2959763021476179,0.00024685262898049864,0.00024685262898049864,0.03085657862256233,0.03085657862256233,0.00024685262898049864
44,1001002802,5056,5056,1851,36.6,1428,28.2,1193,23.6,0,0.0,287,5.7,0,0.0,57,1.1,240,4.7,1.3764442565944657,5056,1851,1428,1193,1,287,1,57,240,5058,0.2823250296559905,0.23586397785686042,0.05674179517595888,0.36595492289442466,0.00019770660340055358,0.00019770660340055358,0.04744958481613286,0.04744958481613286,0.011269276393831554
45,1001002900,4416,4416,1103,25.0,2079,47.1,867,19.6,0,0.0,196,4.4,0,0.0,2,0.0,169,3.8,1.287570804450571,4416,1103,2079,867,1,196,1,2,169,4418,0.4705749207786329,0.19624264373019465,0.04436396559529199,0.24966047985513806,0.00022634676324128565,0.00022634676324128565,0.03825260298777727,0.03825260298777727,0.0004526935264825713
46,1001003000,3732,3732,508,13.6,1431,38.3,1599,42.8,0,0.0,162,4.3,0,0.0,0,0.0,32,0.9,1.1833956480270387,3732,508,1431,1599,1,162,1,1,32,3735,0.38313253012048193,0.42811244979919677,0.043373493975903614,0.1360107095046854,0.0002677376171352075,0.0002677376171352075,0.00856760374832664,0.00856760374832664,0.0002677376171352075
47,1001003100,3605,3605,1023,28.4,1106,30.7,1056,29.3,35,1.0,256,7.1,0,0.0,10,0.3,119,3.3,1.4271669875476685,3605,1023,1106,1056,35,256,1,10,119,3606,0.3067110371602884,0.2928452579034942,0.07099278979478647,0.28369384359401,0.00027731558513588466,0.009706045479755962,0.03300055463117027,0.03300055463117027,0.0027731558513588465
48,1001003200,5301,5301,1432,27.0,1371,25.9,2259,42.6,0,0.0,187,3.5,0,0.0,0,0.0,52,1.0,1.2332636945201958,5301,1432,1371,2259,1,187,1,1,52,5304,0.2584841628959276,0.4259049773755656,0.035256410256410256,0.26998491704374056,0.0001885369532428356,0.0001885369532428356,0.00980392156862745,0.00980392156862745,0.0001885369532428356
49,1001003301,4138,4138,284,6.9,1997,48.3,1500,36.2,0,0.0,208,5.0,0,0.0,14,0.3,135,3.3,1.1692331784842995,4138,284,1997,1500,1,208,1,14,135,4140,0.48236714975845413,0.36231884057971014,0.050241545893719805,0.06859903381642513,0.00024154589371980676,0.00024154589371980676,0.03260869565217391,0.03260869565217391,0.003381642512077295
50,1001003302,2306,2306,121,5.2,1124,48.7,867,37.6,3,0.1,103,4.5,0,0.0,39,1.7,49,2.1,1.1053584365674785,2306,121,1124,867,3,103,1,39,49,2307,0.4872128305158214,0.37581274382314694,0.044646727351538795,0.05244906805374946,0.00043346337234503684,0.0013003901170351106,0.021239705244906804,0.021239705244906804,0.016905071521456438
51,1001003400,5007,5007,201,4.0,1565,31.3,2900,57.9,0,0.0,162,3.2,7,0.1,21,0.4,151,3.0,1.0363618165580322,5007,201,1565,2900,1,162,7,21,151,5008,0.3125,0.579073482428115,0.032348242811501594,0.040135782747603835,0.0013977635782747603,0.00019968051118210862,0.030151757188498402,0.030151757188498402,0.004193290734824281
52,1001003500,5053,5053,427,8.5,1251,24.8,3052,60.4,20,0.4,162,3.2,0,0.0,37,0.7,104,2.1,1.0727435541127008,5053,427,1251,3052,20,162,1,37,104,5054,0.2475267115156312,0.6038781163434903,0.03205381875741987,0.08448753462603878,0.00019786307874950534,0.003957261574990107,0.020577760189948554,0.020577760189948554,0.007320933913731698
53,1001003600,4765,4765,708,14.9,2163,45.4,1326,27.8,0,0.0,429,9.0,0,0.0,0,0.0,139,2.9,1.3209836709485012,4765,708,2163,1326,1,429,1,1,139,4768,0.4536493288590604,0.27810402684563756,0.0899748322147651,0.14848993288590603,0.00020973154362416107,0.00020973154362416107,0.02915268456375839,0.02915268456375839,0.00020973154362416107
54,1001003700,5005,5005,1109,22.2,1939,38.7,1568,31.3,0,0.0,293,5.9,0,0.0,0,0.0,96,1.9,1.3100936397667187,5005,1109,1939,1568,1,293,1,1,96,5008,0.3871805111821086,0.31309904153354634,0.058506389776357824,0.22144568690095848,0.00019968051118210862,0.00019968051118210862,0.019169329073482427,0.019169329073482427,0.00019968051118210862
55,1001003800,5174,5174,846,16.4,2628,50.8,1051,20.3,22,0.4,361,7.0,0,0.0,33,0.6,233,4.5,1.3141440373354174,5174,846,2628,1051,22,361,1,33,233,5175,0.5078260869565218,0.20309178743961354,0.06975845410628019,0.1634782608695652,0.0001932367149758454,0.004251207729468599,0.04502415458937198,0.04502415458937198,0.006376811594202898
56,1001003900,4588,4588,510,11.1,3116,67.9,471,10.3,0,0.0,304,6.6,0,0.0,13,0.3,174,3.8,1.048235176080416,4588,510,3116,471,1,304,1,13,174,4590,0.6788671023965142,0.10261437908496732,0.06623093681917211,0.1111111111111111,0.00021786492374727668,0.00021786492374727668,0.03790849673202614,0.03790849673202614,0.002832244008714597
57,1001004001,4628,4628,608,13.1,3456,74.7,294,6.4,0,0.0,138,3.0,32,0.7,0,0.0,100,2.2,0.883679432385391,4628,608,3456,294,1,138,32,1,100,4630,0.7464362850971922,0.06349892008639309,0.029805615550755938,0.13131749460043196,0.006911447084233261,0.00021598272138228941,0.02159827213822894,0.02159827213822894,0.00021598272138228941
58,1001004002,3302,3302,179,5.4,2663,80.6,148,4.5,0,0.0,281,8.5,0,0.0,0,0.0,31,0.9,0.729303583765607,3302,179,2663,148,1,281,1,1,31,3305,0.8057488653555219,0.044780635400907716,0.08502269288956127,0.05416036308623298,0.000302571860816944,0.000302571860816944,0.009379727685325264,0.009379727685325264,0.000302571860816944
59,1001004100,2604,2604,235,9.0,1870,71.8,144,5.5,0,0.0,217,8.3,0,0.0,10,0.4,128,4.9,0.9761564601189413,2604,235,1870,144,1,217,1,10,128,2606,0.7175748273215656,0.05525709900230238,0.08326937835763622,0.09017651573292403,0.0003837298541826554,0.0003837298541826554,0.04911742133537989,0.04911742133537989,0.003837298541826554
60,1001004201,3767,3767,333,8.8,2899,77.0,199,5.3,0,0.0,188,5.0,0,0.0,96,2.5,52,1.4,0.7845537797464534,3767,333,2899,199,1,188,1,96,52,3769,0.7691695409923056,0.05279915096842664,0.04988060493499602,0.08835234810294508,0.0002653223666755107,0.0002653223666755107,0.01379676306712656,0.01379676306712656,0.025470947200849033
61,1001004202,2376,2376,283,11.9,1805,76.0,39,1.6,0,0.0,180,7.6,0,0.0,6,0.3,63,2.7,0.8280965178088002,2376,283,1805,39,1,180,1,6,63,2378,0.7590412111017661,0.016400336417157275,0.07569386038687972,0.1190075693860387,0.00042052144659377626,0.00042052144659377626,0.026492851135407905,0.026492851135407905,0.002523128679562658
62,1001004300,4088,4088,561,13.7,2560,62.6,671,16.4,25,0.6,164,4.0,10,0.2,0,0.0,97,2.4,1.1258946843683904,4088,561,2560,671,25,164,10,1,97,4089,0.6260699437515285,0.16409880166299828,0.040107605771582296,0.1371973587674248,0.002445585717779408,0.006113964294448521,0.02372218146246026,0.02372218146246026,0.00024455857177794083
63,1001004400,5793,5793,309,5.3,3735,64.5,1145,19.8,0,0.0,398,6.9,0,0.0,25,0.4,181,3.1,1.0550131789943598,5793,309,3735,1145,1,398,1,25,181,5795,0.6445211389128559,0.19758412424503882,0.06867989646246764,0.05332182916307161,0.0001725625539257981,0.0001725625539257981,0.031233822260569456,0.031233822260569456,0.004314063848144953
64,1001004600,3075,3075,275,8.9,1278,41.6,1225,39.8,0,0.0,175,5.7,0,0.0,19,0.6,103,3.3,1.2294250583532877,3075,275,1278,1225,1,175,1,19,103,3077,0.4153396165095873,0.3981150471238219,0.05687357816054599,0.08937276568085797,0.00032499187520311994,0.00032499187520311994,0.03347416314592135,0.03347416314592135,0.006174845628859279
65,1001004701,4886,4886,212,4.3,1256,25.7,2660,54.4,0,0.0,620,12.7,0,0.0,17,0.3,121,2.5,1.1733191854387384,4886,212,1256,2660,1,620,1,17,121,4888,0.2569558101472995,0.544189852700491,0.12684124386252046,0.04337152209492635,0.00020458265139116204,0.00020458265139116204,0.024754500818330607,0.024754500818330607,0.0034779050736497546
66,1001004702,3600,3600,353,9.8,1882,52.3,922,25.6,19,0.5,259,7.2,0,0.0,4,0.1,161,4.5,1.2738286571696829,3600,353,1882,922,19,259,1,4,161,3601,0.5226326020549847,0.25603998889197443,0.07192446542627048,0.09802832546514857,0.00027770063871146905,0.005276312135517912,0.04470980283254652,0.04470980283254652,0.0011108025548458762
67,1001004801,2999,2999,292,9.7,1647,54.9,882,29.4,0,0.0,65,2.2,0,0.0,46,1.5,67,2.2,1.0891014141855953,2999,292,1647,882,1,65,1,46,67,3001,0.5488170609796734,0.2939020326557814,0.02165944685104965,0.09730089970009996,0.0003332222592469177,0.0003332222592469177,0.022325891369543487,0.022325891369543487,0.015328223925358214
68,1001004802,3587,3587,287,8.0,1451,40.5,1531,42.7,0,0.0,251,7.0,0,0.0,13,0.4,54,1.5,1.1853143371126813,3587,287,1451,1531,1,251,1,13,54,3589,0.4042908888269713,0.4265812203956534,0.06993591529674004,0.07996656450264698,0.00027862914460852607,0.00027862914460852607,0.015045973808860406,0.015045973808860406,0.003622178879910839
69,1001004901,3420,3420,591,17.3,1563,45.7,1091,31.9,0,0.0,106,3.1,0,0.0,15,0.4,54,1.6,1.203526242708485,3420,591,1563,1091,1,106,1,15,54,3422,0.45675043834015194,0.3188194038573933,0.030976037405026302,0.17270601987142023,0.0002922267679719462,0.0002922267679719462,0.015780245470485097,0.015780245470485097,0.004383401519579193
70,1001004902,3457,3457,566,16.4,1525,44.1,861,24.9,55,1.6,307,8.9,0,0.0,8,0.2,135,3.9,1.413287442854059,3457,566,1525,861,55,307,1,8,135,3458,0.44100636205899363,0.24898785425101214,0.08877964141122036,0.16367842683632158,0.0002891844997108155,0.015905147484094852,0.039039907460960095,0.039039907460960095,0.002313475997686524
71,1001005001,2060,2060,255,12.4,1312,63.7,312,15.1,0,0.0,95,4.6,0,0.0,31,1.5,55,2.7,1.0777520980914679,2060,255,1312,312,1,95,1,31,55,2062,0.6362754607177498,0.1513094083414161,0.0460717749757517,0.12366634335596509,0.00048496605237633366,0.00048496605237633366,0.02667313288069835,0.02667313288069835,0.015033947623666343
72,1001005002,5798,5798,957,16.5,2622,45.2,1581,27.3,27,0.5,367,6.3,18,0.3,9,0.2,217,3.7,1.3511435538987897,5798,957,2622,1581,27,367,18,9,217,5798,0.45222490513970337,0.27268023456364265,0.06329768885822698,0.16505691617799242,0.003104518799586064,0.004656778199379096,0.03742669886167644,0.03742669886167644,0.001552259399793032
73,1001005201,5855,5855,791,13.5,3783,64.6,743,12.7,102,1.7,341,5.8,0,0.0,0,0.0,95,1.6,1.119062937226358,5855,791,3783,743,102,341,1,1,95,5857,0.6458938022878606,0.12685675260372203,0.05822093221785897,0.13505207444084003,0.00017073587160662456,0.017415058903875704,0.016219907802629333,0.016219907802629333,0.00017073587160662456
