the_geom,cartodb_id,objectid,fid_grocer,fid_groc_1,facilityid,fid_pov_ac,geoid,first_tota,first_unde,first_over,poparea,shape_leng,partpop,partunder1,partover18,partarea,arearatio,groceryacc,fid_wardpl,ward,name,shape_le_1,shape_ar_1,wrdprtarea,areartio2,partpop2,prtovr185,prtund185,percentund185,shapearea,shapelen
,92,99,96,-1,0,98,110010021012,1053,610,443,85476.1536831,1139.68739145,998,578,420,81012.3812364,0.94777757,false,8,4,Ward 4,25130.9943982,23314921.9682,81012.3984375,1,998,420,578,0.57915831,81012.3816623516,1139.68732790641
,93,100,97,-1,0,99,110010021013,1228,116,1112,131643.938386,1451.11165458,1228,116,1112,131643.945388,1.00000005,false,8,4,Ward 4,25130.9943982,23314921.9682,131644,1,1228,1112,116,0.09446254,131643.931858359,1451.11162624996
,94,101,98,-1,0,100,110010021014,991,528,463,116183.981765,1687.92738028,950,506,444,111326.893119,0.95819485,false,8,4,Ward 4,25130.9943982,23314921.9682,111327,1,950,444,506,0.53263158,111326.88796425,1687.92761357782
,95,102,99,-1,0,101,110010021015,1024,460,564,82319.6179462,620.51892394,221,99,122,17769.2037906,0.21585625,false,8,4,Ward 4,25130.9943982,23314921.9682,17769.19921875,1,221,122,99,0.4479638,17769.2089158125,620.518947442857
,96,42,40,-1,0,41,110010009022,1567,46,1521,626101.648039,11068.3445245,1529,45,1484,611045.231334,0.97595212,false,7,3,Ward 3,28342.1673132,28320779.7089,596359,0.97596502,1492,1448,44,0.02949062,596358.77275875,10115.7837257357
,97,43,41,-1,0,42,110010010011,935,46,889,277604.198808,1751.94012377,393,19,374,116756.38172,0.42058579,false,7,3,Ward 3,28342.1673132,28320779.7089,116756,1,393,374,19,0.04834606,116756.379691195,1751.94020899104
,98,44,42,-1,0,43,110010010012,1941,171,1770,495574.804008,2479.28673309,758,67,691,193560.131949,0.39057702,false,7,3,Ward 3,28342.1673132,28320779.7089,193560,1,758,691,67,0.0883905,193560.106287359,2479.28684522541
,99,45,43,-1,0,44,110010010013,1168,0,1168,333889.268976,2736.48008555,1168,0,1168,333889.26966,1,false,7,3,Ward 3,28342.1673132,28320779.7089,333889,1,1168,1168,0,0,333889.258814227,2736.48014227059
,100,46,44,-1,0,45,110010010014,1562,83,1479,652582.170686,5236.47268634,1098,58,1039,458600.517158,0.70274754,false,7,3,Ward 3,28342.1673132,28320779.7089,458601,1,1098,1039,58,0.05282332,458600.506860219,5236.4729989178
,101,47,45,-1,0,46,110010010015,801,121,680,277666.071632,3087.4212396,801,121,680,277666.069531,0.99999999,false,7,3,Ward 3,28342.1673132,28320779.7089,277666,1,801,680,121,0.15106118,277666.089585797,3087.42129004793
,102,48,46,-1,0,47,110010010016,1145,37,1108,352062.22561,2633.51342724,1145,37,1108,352062.223141,0.99999999,false,7,3,Ward 3,28342.1673132,28320779.7089,352062,1,1145,1108,37,0.03231441,352062.217938055,2633.51338713429
,103,49,47,-1,0,48,110010010021,1262,933,329,284086.904079,3210.75570793,1224,905,319,275425.638431,0.96951192,false,7,3,Ward 3,28342.1673132,28320779.7089,275426,1,1224,319,905,0.73937911,275425.616023094,3210.75605515726
,104,50,49,-1,0,50,110010010023,928,21,907,226585.014475,3142.89647565,328,7,321,80070.9393422,0.35338144,false,7,3,Ward 3,28342.1673132,28320779.7089,80070.8984375,1,328,321,7,0.02134146,80070.959469375,3142.89681618491
,105,51,50,-1,0,51,110010011001,1986,65,1921,423020.743683,1080.26710527,142,5,138,30337.7343505,0.0717169,false,7,3,Ward 3,28342.1673132,28320779.7089,30337.69921875,1,142,138,5,0.03521127,30337.7392663594,1080.26725614541
,106,52,51,-1,0,52,110010011002,1233,119,1114,452181.892772,2006.58661158,530,51,479,194428.481901,0.42997848,false,7,3,Ward 3,28342.1673132,28320779.7089,194428,1,530,479,51,0.09622642,194428.4824795,2006.58678023008
,107,53,52,-1,0,53,110010011003,760,25,735,158583.186307,2070.1000824,752,25,727,156911.323456,0.9894575,false,7,3,Ward 3,28342.1673132,28320779.7089,156911,1,752,727,25,0.03324468,156911.185565828,2070.09886496547
,108,54,53,-1,0,54,110010011004,754,58,696,430718.664426,5082.85986695,388,30,358,221716.873086,0.51476031,false,7,3,Ward 3,28342.1673132,28320779.7089,221714,1,388,358,30,0.07731958,221714.340120773,5082.85664685128
,109,55,54,-1,0,55,110010012001,1825,153,1672,190903.741148,1967.21945682,1147,96,1051,120027.372345,0.62873243,false,7,3,Ward 3,28342.1673132,28320779.7089,120027,1,1147,1051,96,0.0836966,120027.379319234,1967.21948718154
,110,56,55,-1,0,56,110010012002,944,170,774,179144.976878,986.73754709,290,52,238,55048.0694943,0.30728224,false,7,3,Ward 3,28342.1673132,28320779.7089,55048.1015625,1,290,238,52,0.17931035,55048.0564435234,986.73763696968
,111,57,56,-1,0,57,110010012003,734,35,699,196052.918908,837.4120334,126,6,120,33565.063884,0.1712041,false,7,3,Ward 3,28342.1673132,28320779.7089,33565.1015625,1,126,120,6,0.04761905,33565.0776778828,837.412061323476
,112,58,57,-1,0,58,110010012004,1405,129,1276,647548.525943,3964.05372041,545,50,495,251390.62314,0.38821897,false,7,3,Ward 3,28342.1673132,28320779.7089,251391,1,545,495,50,0.09174312,251390.606624453,3964.0534588799
,113,59,58,-1,0,59,110010013011,1771,233,1538,456279.49272,6843.71989071,1539,203,1337,396584.510646,0.86917014,false,7,3,Ward 3,28342.1673132,28320779.7089,396572,1,1539,1337,203,0.13190383,396571.741545406,6842.55902395226
,114,60,59,-1,0,60,110010013012,677,11,666,499657.343902,6174.82314635,677,11,666,499657.346454,1.00000001,false,7,3,Ward 3,28342.1673132,28320779.7089,499647,1,677,666,11,0.01624815,499646.751345039,6174.75363112283
